"filename", "language", "Dart", "comment", "blank", "total"
"d:\Projects\Automatic Chessboard\ChessApp\lib\AdvantageBar.dart", "Dart", 42, 0, 2, 44
"d:\Projects\Automatic Chessboard\ChessApp\lib\BluetoothManager\BluetoothDeviceListEntry.dart", "Dart", 70, 1, 3, 74
"d:\Projects\Automatic Chessboard\ChessApp\lib\BluetoothManager\BluetoothManager.dart", "Dart", 79, 2, 13, 94
"d:\Projects\Automatic Chessboard\ChessApp\lib\BluetoothManager\BluetoothManagerWidget.dart", "Dart", 91, 17, 6, 114
"d:\Projects\Automatic Chessboard\ChessApp\lib\BluetoothManager\SelectBondedDevicePage.dart", "Dart", 118, 5, 22, 145
"d:\Projects\Automatic Chessboard\ChessApp\lib\Chessboard.dart", "Dart", 292, 6, 11, 309
"d:\Projects\Automatic Chessboard\ChessApp\lib\CustomRadio.dart", "Dart", 21, 0, 4, 25
"d:\Projects\Automatic Chessboard\ChessApp\lib\DrawerChess.dart", "Dart", 58, 0, 5, 63
"d:\Projects\Automatic Chessboard\ChessApp\lib\IconChess.dart", "Dart", 20, 0, 2, 22
"d:\Projects\Automatic Chessboard\ChessApp\lib\MainPage.dart", "Dart", 45, 0, 7, 52
"d:\Projects\Automatic Chessboard\ChessApp\lib\SelectGameMode.dart", "Dart", 251, 4, 7, 262
"d:\Projects\Automatic Chessboard\ChessApp\lib\main.dart", "Dart", 15, 0, 3, 18
"d:\Projects\Automatic Chessboard\ChessApp\lib\test.dart", "Dart", 5, 0, 1, 6
"Total", "-", 1107, 35, 86, 1228